pregunta,respuesta,categoria
"¿Cuáles son los horarios de atención?","Nuestros horarios de atención son de lunes a viernes de 8:00 AM a 4:00 PM y los sábados de 8:00 AM a 12:00 PM.","Horarios"
"¿Cómo puedo abrir una cuenta de ahorros?","Para abrir una cuenta de ahorros necesitas: documento de identidad, comprobante de ingresos, dirección de residencia y llenar el formulario correspondiente.","Apertura de Cuentas"
"¿Cuáles son las tarifas de las cuentas?","Las tarifas varían según el tipo de cuenta. La cuenta básica tiene mantenimiento mensual de $5, mientras que las cuentas premium tienen beneficios adicionales.","Tarifas"
"¿Cómo puedo consultar mi saldo?","Puedes consultar tu saldo a través de nuestra banca en línea, aplicaciones móviles, cajeros automáticos o visitando una sucursal.","Consultas"
"¿Qué documentos necesito para un préstamo?","Para un préstamo necesitas: documento de identidad, comprobante de ingresos, referencias personales y comerciales, y garantías según el monto.","Préstamos"
"¿Cómo puedo activar mi tarjeta de débito?","Puedes activar tu tarjeta llamando al número que aparece en la tarjeta, visitando una sucursal o a través de nuestra banca en línea.","Tarjetas"
"¿Cuál es el límite de retiro diario?","El límite de retiro diario es de $500 para cuentas básicas y hasta $2,000 para cuentas premium, sujeto a verificación.","Límites"
"¿Cómo puedo cambiar mi contraseña de banca en línea?","Puedes cambiar tu contraseña ingresando a banca en línea, yendo a configuración de seguridad y siguiendo los pasos indicados.","Seguridad"
"¿Qué hago si pierdo mi tarjeta?","Si pierdes tu tarjeta, debes bloquearla inmediatamente llamando al 800-BANESCO o a través de banca en línea para evitar uso fraudulento.","Emergencias"
"¿Cómo puedo transferir dinero a otra cuenta?","Puedes transferir dinero a través de banca en línea, aplicaciones móviles, cajeros automáticos o visitando una sucursal.","Transferencias"
"¿Cuáles son los requisitos para una tarjeta de crédito?","Para una tarjeta de crédito necesitas: comprobante de ingresos, historial crediticio, documento de identidad y cumplir con nuestros criterios de aprobación.","Tarjetas de Crédito"
"¿Cómo puedo reportar un problema con mi cuenta?","Puedes reportar problemas llamando a nuestro centro de atención al cliente, visitando una sucursal o a través de nuestro chat en línea.","Soporte"
"¿Qué es el seguro de depósitos?","El seguro de depósitos protege tus ahorros hasta $250,000 por depositante, garantizado por el gobierno panameño.","Seguridad"
"¿Cómo puedo actualizar mis datos personales?","Puedes actualizar tus datos visitando cualquier sucursal con tu documento de identidad y los documentos que respalden los cambios.","Datos Personales"
"¿Cuáles son las comisiones por transferencias?","Las transferencias entre cuentas Banesco son gratuitas. Las transferencias a otros bancos tienen una comisión de $2.50.","Comisiones"
"¿Cómo puedo pedir un préstamo?","Para pedir un préstamo puedes hacerlo a través de la banca en línea o acercándote a la agencia más cercana. Debes tener un buen historial crediticio y no tener saldo en mora con el banco. Los requisitos para pedirlo son muy sencillos.","Préstamos"